Module,Criterion,Type,Source,Link,Access date,ID
Electrical (LV),"Typical voltage drop limits (e.g., 3% lighting, 5% other circuits) — public summaries referencing VDE/DIN practice",Guideline/Recommendation,LAPP technical paper (mentions TAB/NAV/VDE-AR-N 4100 and voltage drop guidance; references DIN VDE 0100-520 and DIN 18015-1-10),https://contentmedia.lappcdn.com/e/lapp/IUrE4SbY1_k-zREx5E0xtQ~~,2026-02-07,ELEC_VDROP_LAPP_PDF
Electrical (LV),"Typical voltage drop limits (e.g., 3% lighting, 5% other circuits) — public summaries referencing VDE/DIN practice",Guideline/Recommendation,Electrical Installation Guide (summary of IEC 60364-5-52 voltage drop typical limits),https://www.electrical-installation.org/enwiki/Maximum_voltage_drop_limit,2026-02-07,IEC60364_G52_WIK
Electrical (LV),"Typical voltage drop limits (e.g., 3% lighting, 5% other circuits) — public summaries referencing VDE/DIN practice",Context,DIN 18015-1 overview (scope: electrical installations in residential buildings; info page),https://www.sis.se/en/produkter/construction-materials-and-building/installations-in-buildings/electricity-supply-systems/din-18015-1/,2026-02-07,DIN18015_OVERVIEW_SIS
HVAC,Outdoor air rate examples by EN 16798-1 category (person + floor area method) — public examples,Guideline/Recommendation,REHVA presentation on EN 16798-1 revision (example outdoor air rates by category),https://www.rehva.eu/fileadmin/user_upload/2024/2_Jarek.pdf,2026-02-07,REHVA_EN16798_PDF
HVAC,Outdoor air rate examples by EN 16798-1 category (person + floor area method) — public examples,Guideline/Recommendation,"DIN draft TR 16789-2 (input parameters, includes ventilation rate examples for EN 16798 categories)",https://www.din.de/resource/blob/66392/911886c68e3d0917dc03085dcc35f144/tr-16789-2-draft-data.pdf,2026-02-07,DIN_TR_16789_DRAFT
HVAC,Cooling load calculation standard (VDI 2078) — scope reference only,Context,VDI 2078 standard page (cooling load calculation scope),https://www.vdi.de/en/home/vdi-standards/details/vdi-2078-calculation-of-thermal-loads-and-room-temperatures-design-cooling-load-and-annual-simulation,2026-02-07,VDI_2078_PAGE
HVAC,Design outdoor temperatures for heating (DIN/TS 12831-1) via public postcode climate map,Guideline/Recommendation,"BWP Klimakarte (Norm-Außentemperaturen according to DIN/TS 12831-1, map by postal code)",https://www.waermepumpe.de/werkzeuge/klimakarte/,2026-02-07,BWP_KLIMAKARTE
HVAC,Building Energy Act (GEG) — legal framework context (public overview),Context,EU Clean Energy Islands: Germany legal overview — Building Energy Act (GEG) replaces previous laws (overview page),https://clean-energy-islands.ec.europa.eu/countries/germany/legal/heating-cooling-support/heating-cooling-support-building-obligations,2026-02-07,EU_GEG_OVERVIEW
HVAC,Building Energy Act (GEG) — legal framework context (public overview),Context,DIN Media topic page: Energy efficiency / GEG (context and references),https://www.dinmedia.de/en/topics/energy-efficiency,2026-02-07,DINMEDIA_GEG_TOPIC
Plumbing/DHW,Drinking water installation pipe sizing — DIN 1988-300 / EN 806-3 (scope reference; app uses simplified method),Guideline/Recommendation,Educational PDF: dimensioning steps per DIN 1988-300 (Trinkwasser installation pipe sizing workflow),https://c.wgr.de/f/buchlinks/978-3-14-235039-4/217_DIN_1988-300_Bemessung_der_Trinkwasserinstallation.pdf,2026-02-07,DIN1988_300_PDF
Plumbing/DHW,Drinking water installation pipe sizing — DIN 1988-300 / EN 806-3 (scope reference; app uses simplified method),Context,ZVSHK index/table of contents: DIN EN 806-3 and DIN 1988-300 referenced for pipe diameter calculation,https://www.zvshk.de/uploads/tx_ccshopgdi/product_files/index_of_content/Inhaltsverzeichnis-T110-DIN-1988-300.pdf,2026-02-07,ZVSHK_T110_PDF
Plumbing/DHW,Drinking water installation pipe sizing — DIN 1988-300 / EN 806-3 (scope reference; app uses simplified method),Context,EN 806-3 catalog entry (scope: pipe sizing simplified method for drinking water installations),https://ecommerce.sist.si/catalog/standards/cen/c600c378-b062-40b9-a0fa-f6a8b719ead1/en-806-3-2006,2026-02-07,EN806_3_CATALOG
Drainage/Rainwater,Gravity drainage standards EN 12056 and German supplementary scope DIN 1986-100 — scope reference,Context,DIN 1986-100 summary (scope: private ground drainage; in addition to DIN EN 12056 parts),https://en.tienda.aenor.com/Paginas/normas-y-libros/Normas/Normas-DIN.aspx?TermId=68d250f4-8cb8-4ce5-bb21-70336ee39a53&TermSetId=c0c24438-f227-4594-9eb7-30942b744d4d&TermStoreId=30422a6b-6877-4e28-82d6-96d5dac7e3b1&c=norma-din-1986-100-2008-05-106712878,2026-02-07,DIN1986_100_OVERVIEW_AENOR
Drainage/Rainwater,Gravity drainage standards EN 12056 and German supplementary scope DIN 1986-100 — scope reference,Context,"Intertek inform listing: EN 12056-2 (scope: sanitary pipework, layout and calculation)",https://www.intertekinform.com/en-gb/standards/en-12056-2-2000-331036_saig_cen_cen_761384/,2026-02-07,EN12056_INTERTEK
Fire/Brandschutz,Fire detection & alarm systems lifecycle and specialist companies per DIN 14675 — scope reference,Context,"VdS page: Specialist companies DIN 14675 (planning, installation, commissioning, acceptance, maintenance)",https://vds.de/en/expertise/fire-safety/certification/installation-and-specialist-companies/specialist-companies-din-14675,2026-02-07,VDS_DIN14675
Fire/Brandschutz,Sprinkler design guidance: DIN EN 12845 and VdS CEA 4001 — scope reference/guideline,Guideline/Recommendation,VdS page: Sprinkler guideline (mentions DIN EN 12845 and CEA 4001 used as guide),https://vds.de/en/certification/inspection-service/information-innovation/information-innovation/sprinkler-guideline,2026-02-07,VDS_SPRINKLER_GUIDELINE
Fire/Brandschutz,Sprinkler design guidance: DIN EN 12845 and VdS CEA 4001 — scope reference/guideline,Guideline/Recommendation,VdS CEA 4001en: 2021-01 (07) — Guidelines for sprinkler systems (PDF download),https://shop.vds.de/download/V4001EN/4f4e0ad0-2efd-4221-af3e-41f57a44524f,2026-02-07,VDS_CEA4001_PDF
HVAC,Use TRY (Testreferenzjahr) climate data for climate-sensitive pre-sizing; ventilation energy depends on local climate,Context,DWD: Test Reference Years (TRY) official overview/downloads,https://www.dwd.de/DE/leistungen/testreferenzjahre/testreferenzjahre.html,2026-02-14,DWD_TRY_PAGE
HVAC,Cooling load calculations per VDI 2078 reference climate data (DIN 4710 or TRY) — basis for climate-dependent design,Guideline/Recommendation,VDI 2078 amendment text (reference to DIN 4710 / TRY for variable values),https://www.vdi.de/fileadmin/pages/vdi_de/redakteure/richtlinien/dateien/2020-01-28_Aenderung_VDI_2078_Text.pdf_-_ersetzt_-_2018-11-01_Aenderung_VDI_2078_Text.pdf,2026-02-14,VDI_2078_AMENDMENT_PDF
